,city,country,woeid,lat,lng,trends
220,Novosibirsk,Russia,2122541,55.03,82.96,"['Навального', 'Какие', 'новосибирске', 'Поздравляю', 'Надеюсь', 'Точно', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Алексея', 'Омске', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'Скрипалей', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'мали', 'Землей', 'european', 'ГКЧП', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко']"
221,Omsk,Russia,2122641,54.99,73.4,"['Омске', 'Лукашенко', 'Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
222,Saint Petersburg,Russia,2123260,59.93899999999999,30.316,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Омск', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
223,Ufa,Russia,2124045,54.79,56.04,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Алексея', 'Омске', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'бавария', 'Венедиктов', 'Скрипалей', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'Ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'мали', 'Землей', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
224,Vladivostok,Russia,2124288,43.13,131.91,"['Поздравляю', 'Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Алексея', 'Омске', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'Кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'Ефремова', 'бавария', 'Венедиктов', 'Скрипалей', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'Мали', 'Землей', 'european', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко']"
225,Volgograd,Russia,2124298,48.71,44.5,"['Навального', '#МыЗнаемКтоВиновен', '#нюдсочетверг', 'Алексея', 'Омске', '#BTS_Dynamite_ONEword', 'Кира', 'Navalny', 'Немцова', '#taehyungdeservesbetter', 'BTS Dynamite', 'Ярмыш', 'minho', 'Альянс', 'кафтанчиково', 'Лёха', 'omsk', 'Battletoads', '#LONG_LIVED_ONEUS', 'Эннеаграмме', 'Скатертью', 'Верзилова', 'бавария', 'Венедиктов', 'Скрипалей', 'донбасса', 'Ирана', 'преображение господне', 'Координационного', 'Яблочный Спас', 'Литвиненко', 'Ефремовым', 'Врачи', 'Веник', 'Лион', 'с яблочным спасом', 'мали', 'Землей', 'ГКЧП', 'в германии', 'Источник', 'Норвегии', 'албании', 'Влашича', '#леорио2021', '#ISupportZhenyaMedvedeva', '#цвбп', '#stopexecutionsiniran', '#УралЛоко', '#ACE_COMEBACK']"
226,Karachi,Pakistan,2211096,24.87,66.99,"['#lahorerain', '#RashidMinhasShaheed', '#WorldPhotographyDay', '#ThursdayThoughts', '#JarwarNeedsLibrary', 'lyon', 'Gnabry', 'Monal', 'Asif Ali', 'lewandowski', 'BTS Dynamite', 'Barish', 'Federal Govt', 'ig fc', 'f-35', '#HealthInsurance4All', '#اےپی_سی_والوہن_آرام_اے', '#صافی_کی_بی_آرٹیاں', '#worldhumanitarianday', '#Churails', '#bts_dynamite_oneword', '#ShameOnImranRiazKhan', '#we_supportpalestine', '#Muharram', '#WednesdayThoughts', '#PMImranKhanonDunyaNews', '#HussainIsForAll', '#RealLifeHeroes', '#IslamicNewYear', '#CPL2020', '#ایم_ڈی_رائےمنظورکوبحال_کرو', '#UCLfinal', '#gmaildown', '#SehatInsafCard', '#Covid_19', '#2YearsOfExcellencePMIK', '#ProudOfYouSidharth', '#FakeNews', '#PeoplesProtestAgainstPuppets', '#محرم_١٤٤٢هـ', '#SushantSinghRajput', '#کپتان_کےدوسال_بےمثال', '#تباہی_کے_2سال', '#Rain', '#wednesdaymotivation', '#schoolsreopening']"
227,Lahore,Pakistan,2211177,31.56,74.35,"['#lahorerain', '#RashidMinhasShaheed', '#ThursdayThoughts', '#worldhumanitarianday', '#WorldPhotographyDay', 'lyon', 'Gnabry', 'Monal', 'Asif Ali', 'lewandowski', 'BTS Dynamite', 'Barish', 'Federal Govt', 'ig fc', 'f-35', '#HealthInsurance4All', '#اےپی_سی_والوہن_آرام_اے', '#صافی_کی_بی_آرٹیاں', '#Churails', '#bts_dynamite_oneword', '#ShameOnImranRiazKhan', '#JarwarNeedsLibrary', '#we_supportpalestine', '#Muharram', '#WednesdayThoughts', '#PMImranKhanonDunyaNews', '#HussainIsForAll', '#RealLifeHeroes', '#IslamicNewYear', '#CPL2020', '#ایم_ڈی_رائےمنظورکوبحال_کرو', '#UCLfinal', '#gmaildown', '#SehatInsafCard', '#Covid_19', '#2YearsOfExcellencePMIK', '#ProudOfYouSidharth', '#FakeNews', '#PeoplesProtestAgainstPuppets', '#محرم_١٤٤٢هـ', '#SushantSinghRajput', '#کپتان_کےدوسال_بےمثال', '#تباہی_کے_2سال', '#Rain', '#wednesdaymotivation', '#schoolsreopening']"
228,Multan,Pakistan,2211269,30.2,71.455,"['#HealthInsurance4All', '#RashidMinhasShaheed', '#lahorerain', '#اےپی_سی_والوہن_آرام_اے', '#ThursdayThoughts', 'lyon', 'Gnabry', 'Monal', 'Asif Ali', 'lewandowski', 'BTS Dynamite', 'Barish', 'Federal Govt', 'ig fc', '#WorldPhotographyDay', '#صافی_کی_بی_آرٹیاں', '#worldhumanitarianday', '#Churails', '#bts_dynamite_oneword', '#ShameOnImranRiazKhan', '#JarwarNeedsLibrary', '#we_supportpalestine', '#Muharram', '#WednesdayThoughts', '#PMImranKhanonDunyaNews', '#HussainIsForAll', '#RealLifeHeroes', '#IslamicNewYear', '#CPL2020', '#ایم_ڈی_رائےمنظورکوبحال_کرو', '#UCLfinal', '#gmaildown', '#SehatInsafCard', '#Covid_19', '#2YearsOfExcellencePMIK', '#ProudOfYouSidharth', '#FakeNews', '#PeoplesProtestAgainstPuppets', '#محرم_١٤٤٢هـ', '#SushantSinghRajput', '#کپتان_کےدوسال_بےمثال', '#Rain', '#تباہی_کے_2سال']"
229,Rawalpindi,Pakistan,2211387,33.6,73.04,"['#RashidMinhasShaheed', '#Churails', '#صافی_کی_بی_آرٹیاں', '#WorldPhotographyDay', 'Lahore', 'Prime Minister Imran Khan', 'Neymar', '#JusticeForHayathBaloch', 'Trump', 'lyon', 'Gnabry', 'Monal', 'Asif Ali', 'lewandowski', 'BTS Dynamite', 'Barish', 'Federal Govt', 'ig fc', 'f-35', '#اےپی_سی_والوہن_آرام_اے', '#ThursdayThoughts', '#bts_dynamite_oneword', '#ShameOnImranRiazKhan', '#JarwarNeedsLibrary', '#we_supportpalestine', '#Muharram', '#WednesdayThoughts', '#PMImranKhanonDunyaNews', '#HussainIsForAll', '#RealLifeHeroes', '#IslamicNewYear', '#CPL2020', '#ایم_ڈی_رائےمنظورکوبحال_کرو', '#UCLfinal', '#gmaildown', '#SehatInsafCard', '#Covid_19', '#2YearsOfExcellencePMIK', '#ProudOfYouSidharth', '#FakeNews', '#PeoplesProtestAgainstPuppets', '#محرم_١٤٤٢هـ', '#SushantSinghRajput', '#کپتان_کےدوسال_بےمثال', '#تباہی_کے_2سال', '#Rain', '#wednesdaymotivation', '#schoolsreopening']"
